Player ID,Player,Team,Number of Agents Played,Rounds Played,Rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HSP,CSP,CL,Kills Max,K,D,A,FK,FD
1,Demon1,EG,4,459,1.23,246,1.39,73%,166.4,0.92,0.17,0.15,0.09,40%,15%,Oct-67,28,421,302,80,69,41
2,keznit,KRÜ,2,90,1.19,266,1.13,68%,175.8,0.88,0.23,0.21,0.09,20%,18%,02-Nov,29,79,70,21,19,8
3,Leo,FNC,3,270,1.17,206.1,1.37,82%,138.3,0.74,0.44,0.05,0.03,27%,17%,Jul-42,25,201,147,119,13,8
4,Alfajer,FNC,3,270,1.17,232.4,1.39,73%,158.4,0.86,0.13,0.13,0.09,28%,11%,Apr-38,26,233,168,36,34,23
5,Less,LOUD,2,515,1.16,227.7,1.21,73%,149.5,0.81,0.19,0.1,0.07,24%,18%,Nov-61,28,416,344,100,51,35
6,AAAAY,FPX,2,85,1.15,231.3,1.33,73%,147.4,0.89,0.19,0.01,0.07,39%,18%,Mar-17,23,76,57,16,1,6
7,aspas,LOUD,2,515,1.15,235.4,1.26,76%,153.8,0.87,0.16,0.19,0.11,25%,20%,Aug-41,30,446,355,82,96,56
8,Cloud,GIA,2,161,1.14,216.3,1.11,75%,139.9,0.76,0.39,0.11,0.09,35%,45%,05-Nov,21,123,111,62,18,14
9,cauanzin,LOUD,3,515,1.13,217.3,1.12,76%,137,0.76,0.4,0.12,0.08,25%,9%,Apr-47,25,391,348,207,60,41
10,MrFaliN,FUT,5,216,1.11,209.7,1.12,72%,141.6,0.74,0.34,0.04,0.06,25%,21%,Jun-29,28,160,143,74,9,14
11,Victor,NRG,3,130,1.11,229.4,1.07,76%,147.7,0.82,0.19,0.17,0.12,26%,14%,Feb-14,22,106,99,25,17,12
12,SUYGETSU,NAVI,3,204,1.1,193.5,1.2,75%,130.2,0.73,0.17,0.08,0.04,32%,18%,Jul-39,24,148,123,34,16,8
13,jawgemo,EG,3,459,1.1,228.1,1.11,74%,146.7,0.79,0.34,0.12,0.12,19%,12%,Mar-26,26,362,325,154,57,57
14,d4v41,PRX,4,358,1.08,192.8,1.07,77%,127.9,0.68,0.43,0.04,0.03,30%,17%,Aug-48,24,243,227,153,13,9
15,cNed,NAVI,5,204,1.08,220.8,1.21,74%,143.5,0.8,0.17,0.12,0.15,28%,19%,Mar-16,27,163,135,34,24,31
16,something,PRX,3,358,1.08,210.1,1.1,72%,134.2,0.75,0.2,0.18,0.14,22%,12%,May-41,31,269,245,73,64,50
17,s0m,NRG,4,130,1.08,180.2,1.07,75%,117.4,0.68,0.41,0.07,0.05,28%,13%,01-Aug,23,88,82,53,7,5
18,Sayaplayer,T1,2,129,1.08,230.7,1.12,66%,152.3,0.81,0.12,0.18,0.09,26%,25%,Apr-16,21,105,94,15,23,12
19,whzy,BLG,2,237,1.08,254.3,1.17,71%,160.1,0.89,0.17,0.2,0.16,19%,4%,Jan-24,31,212,181,41,48,37
20,CHICHOO,EDG,3,358,1.07,197.9,1.04,72%,132.5,0.68,0.31,0.04,0.08,22%,16%,Oct-62,22,245,236,110,13,28
21,Ethan,EG,4,459,1.07,193.5,1,78%,125.4,0.66,0.58,0.07,0.08,21%,31%,14/45,24,303,303,265,34,36
22,Derke,FNC,2,270,1.06,218.4,1.14,66%,145.7,0.76,0.16,0.22,0.2,24%,20%,02-Oct,19,206,180,44,60,54
23,MaKo,DRX,2,283,1.06,190.5,0.97,73%,120.1,0.65,0.51,0.06,0.05,31%,20%,Jun-30,20,183,189,145,16,13
24,C0M,EG,2,459,1.06,195.7,1.12,74%,126.5,0.72,0.31,0.07,0.07,21%,29%,20/69,28,330,294,144,32,30
25,Yosemite,BLG,2,237,1.05,207.7,1.04,73%,133.3,0.73,0.27,0.1,0.08,23%,19%,Jul-37,26,172,166,64,24,18
26,Sayf,TL,3,92,1.04,222.8,1.01,73%,155.3,0.75,0.28,0.11,0.11,21%,14%,01-Jul,26,69,68,26,10,10
27,hoody,GIA,5,161,1.04,204.6,1,73%,139,0.7,0.46,0.1,0.12,23%,12%,Mar-25,22,113,113,74,16,19
28,ardiis,NRG,3,130,1.04,234.4,1.13,72%,147.8,0.82,0.25,0.19,0.14,22%,,0/9,27,106,94,32,19,14
29,Fit1nho,GIA,2,161,1.04,227.3,1.02,76%,155.8,0.81,0.19,0.19,0.15,22%,22%,02-Sep,34,130,127,31,31,24
30,DaveeyS,KRÜ,2,90,1.03,182.3,1.12,72%,130.2,0.64,0.17,0.07,0.04,23%,7%,Jan-14,21,58,52,15,6,4
31,tuyz,LOUD,4,515,1.02,163.1,0.96,75%,107.4,0.59,0.48,0.05,0.06,29%,19%,14/73,23,304,317,247,26,33
32,Shao,NAVI,4,204,1.02,168.4,0.98,72%,115.1,0.62,0.34,0.06,0.05,32%,22%,Aug-36,24,126,129,70,12,11
33,AtaKaptan,FUT,2,216,1.01,196.7,0.88,70%,128.5,0.63,0.54,0.09,0.12,30%,14%,Mar-22,20,136,154,116,19,25
34,saadhak,LOUD,5,515,1.01,185.7,0.87,73%,120.1,0.6,0.49,0.1,0.12,19%,11%,May-47,21,310,355,252,53,64
35,Zest,DRX,2,283,1,200.9,0.98,67%,133.9,0.7,0.32,0.1,0.11,35%,21%,Jul-33,26,197,201,91,28,30
36,mindfreak,PRX,4,358,1,164.7,0.97,72%,110.4,0.6,0.37,0.04,0.05,30%,20%,Nov-55,23,214,220,132,13,19
37,f0rsakeN,PRX,5,358,1,205.1,1,71%,139.5,0.72,0.34,0.1,0.12,26%,6%,Feb-36,30,256,255,121,37,42
38,ZmjjKK,EDG,4,358,0.99,226.4,1.05,65%,145.1,0.8,0.18,0.14,0.17,18%,13%,Apr-30,27,286,273,66,50,62
39,Jinggg,PRX,2,358,0.99,234.1,1.02,72%,157,0.8,0.26,0.16,0.15,22%,6%,Jan-17,24,285,279,92,56,55
40,BuZz,DRX,2,283,0.99,228.1,1.02,71%,146.7,0.78,0.19,0.21,0.19,22%,8%,Jan-13,27,221,216,54,60,55
41,Chronicle,FNC,3,270,0.98,169.1,0.89,72%,113.1,0.58,0.43,0.07,0.05,23%,,0/18,17,156,176,116,20,14
42,nAts,TL,2,92,0.98,211.3,1.09,76%,146.6,0.76,0.15,0.11,0.1,28%,,0/14,34,70,64,14,10,9
43,qRaxs,FUT,2,216,0.98,192.9,0.94,72%,130,0.67,0.42,0.05,0.06,31%,8%,Feb-24,20,145,155,91,11,13
44,Boaster,FNC,3,270,0.98,177.6,0.9,72%,110.2,0.6,0.42,0.1,0.06,23%,39%,Nov-28,19,163,182,114,28,16
45,rhyme,GIA,4,161,0.97,174,0.83,74%,113.9,0.58,0.54,0.04,0.08,32%,11%,Feb-18,20,94,113,87,6,13
46,crashies,NRG,2,130,0.97,191.8,1.01,73%,123.2,0.69,0.34,0.03,0.05,29%,18%,Mar-17,20,90,89,44,3,5
47,nobody,EDG,3,358,0.97,198.3,0.93,72%,137.2,0.69,0.33,0.1,0.14,30%,18%,Jul-39,27,248,266,117,36,49
48,MOJJ,FUT,2,216,0.97,192.8,0.93,67%,129.7,0.65,0.28,0.13,0.12,30%,20%,Jul-35,22,141,152,60,28,25
49,Munchkin,T1,3,129,0.96,211.7,0.93,64%,139.7,0.7,0.22,0.12,0.12,24%,8%,Feb-24,17,90,97,29,16,15
50,stax,DRX,4,283,0.95,175.9,0.92,68%,111.3,0.64,0.36,0.05,0.07,33%,17%,May-30,27,182,198,101,14,21
51,xeta,T1,2,129,0.95,187.7,0.94,71%,120.7,0.64,0.26,0.05,0.1,24%,19%,Mar-16,17,82,87,34,7,13
52,Smoggy,EDG,4,358,0.94,201,0.98,69%,134.8,0.73,0.22,0.09,0.09,30%,8%,Mar-40,25,261,265,77,34,34
53,Zyppan,NAVI,3,204,0.93,198.3,0.88,69%,138,0.67,0.29,0.11,0.14,27%,15%,Feb-13,21,136,154,59,22,29
54,Boostio,EG,4,459,0.93,187.7,0.87,70%,128.7,0.63,0.26,0.11,0.11,23%,10%,Apr-41,26,291,335,119,51,52
55,Dep,ZETA,2,79,0.93,253.7,1.08,61%,156.3,0.89,0.08,0.12,0.08,28%,,0/5,29,70,65,6,6,4
56,Lysoar,FPX,2,85,0.92,208.5,0.95,72%,133.8,0.71,0.16,0.07,0.12,31%,,0/8,18,60,63,14,6,10
57,FiNESSE,NRG,2,130,0.91,181.4,0.72,74%,122.5,0.52,0.41,0.1,0.1,16%,10%,01-Oct,16,67,93,53,10,10
58,Biank,BLG,3,237,0.9,188.5,0.89,71%,128.5,0.65,0.36,0.07,0.09,22%,16%,Apr-25,25,155,174,85,16,21
59,Knight,BLG,4,237,0.9,188.8,0.91,70%,123.1,0.66,0.32,0.06,0.13,28%,13%,Apr-31,19,157,172,76,14,30
60,Haodong,EDG,3,358,0.89,168.4,0.83,74%,107.1,0.59,0.47,0.05,0.09,30%,18%,Jun-34,22,212,254,167,19,33
61,Yuicaw,FPX,2,85,0.89,206.8,0.87,66%,129.1,0.69,0.15,0.19,0.16,29%,,0/6,18,59,68,13,16,14
62,Rb,DRX,2,283,0.89,162.8,0.85,65%,113.5,0.58,0.16,0.08,0.08,23%,21%,Dec-57,23,163,191,45,23,24
63,nukkye,GIA,2,161,0.89,185.7,0.88,65%,131.2,0.65,0.19,0.06,0.06,21%,6%,Feb-31,22,105,119,31,10,10
64,qw1,FUT,2,216,0.88,190.6,0.93,64%,123.2,0.7,0.08,0.16,0.17,28%,12%,Feb-17,21,151,163,18,35,37
65,ban,T1,2,129,0.85,176.3,0.82,66%,109.9,0.62,0.33,0.05,0.12,33%,11%,Feb-19,16,80,98,43,6,16
66,ANGE1,NAVI,3,204,0.84,176.8,0.75,70%,117.7,0.59,0.44,0.1,0.14,26%,18%,02-Nov,24,120,161,89,21,29
67,NagZ,KRÜ,1,90,0.83,149.5,0.72,61%,103.5,0.48,0.32,0.04,0.06,18%,,0/14,13,43,60,29,4,5
68,rin,BLG,3,237,0.82,144.9,0.73,66%,91.9,0.51,0.34,0.05,0.07,23%,8%,Feb-24,16,122,167,81,12,17
69,soulcas,TL,2,92,0.82,134.8,0.76,65%,81.7,0.48,0.27,0.04,0.03,39%,6%,Jan-17,13,44,58,25,4,3
70,Klaus,KRÜ,1,90,0.79,157.3,0.71,64%,106.6,0.54,0.28,0.07,0.18,31%,,0/3,14,49,69,25,6,16
71,Redgar,TL,3,92,0.76,162.8,0.69,68%,110.5,0.53,0.35,0.08,0.1,32%,,0/7,19,49,71,32,7,9
