Player ID,Player,Team,Agent,Agent Type,Rounds Played,Rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HSP,CSP,CL,Kills Max,K,D,A,FK,FD
1,Demon1,EG,Astra,Controller,103,1.23,233.8,1.39,0.74,149.7,0.89,0.35,0.08,0.05,0.38,0.21,Apr-19,23,92,66,36,8,5
13,jawgemo,EG,Astra,Controller,116,1.07,188.2,0.99,0.72,129.5,0.67,0.46,0.05,0.08,0.26,0.2,02-Oct,22,78,79,53,6,9
31,tuyz,LOUD,Astra,Controller,139,1.07,158.4,0.92,0.78,106.1,0.56,0.55,0.03,0.04,0.27,0.27,Aug-30,16,78,85,76,4,6
36,mindfreak,PRX,Astra,Controller,177,1.04,166.6,1.05,0.72,114.2,0.62,0.4,0.04,0.05,0.29,0.19,Jun-32,23,109,104,71,7,9
44,Boaster,FNC,Astra,Controller,138,1.03,185.9,0.95,0.75,118.2,0.62,0.38,0.09,0.04,0.26,0.35,Jun-17,19,86,91,53,13,5
45,rhyme,GIA,Astra,Controller,26,1.01,149,0.87,0.73,98.7,0.5,0.54,0.04,0.08,0.33,,0/3,13,13,15,14,1,2
54,Boostio,EG,Astra,Controller,23,1.01,212,0.94,0.83,145.3,0.7,0.43,0.09,0.09,0.29,,0/3,16,16,17,10,2,2
60,Haodong,EDG,Astra,Controller,101,0.98,160.3,0.89,0.74,108.7,0.58,0.49,0.04,0.07,0.33,0.11,01-Sep,22,59,66,49,4,7
69,soulcas,TL,Astra,Controller,24,0.95,152,0.93,0.63,94,0.54,0.38,0.04,0.08,0.36,0.17,01-Jun,13,13,14,9,1,2
73,Melser,KRÜ,Astra,Controller,20,0.93,172,1,0.75,96.9,0.7,0.15,0.15,0.1,0.42,,0/3,14,14,14,3,3,2
71,Redgar,TL,Astra,Controller,53,0.93,193.5,0.83,0.7,124.9,0.62,0.36,0.09,0.09,0.34,,0/4,19,33,40,19,5,5
72,nizhaoTZH,FPX,Astra,Controller,42,0.91,161,0.89,0.69,111.3,0.6,0.29,0,0.05,0.31,0.08,01-Dec,17,25,28,12,0,2
37,f0rsakeN,PRX,Astra,Controller,51,0.88,195.5,0.92,0.65,130.6,0.71,0.31,0.14,0.14,0.2,,0/7,20,36,39,16,7,7
17,s0m,NRG,Astra,Controller,21,0.87,166,0.73,0.62,125.3,0.52,0.38,0.05,0.14,0.15,0.5,01-Feb,11,11,15,8,1,3
32,Shao,NAVI,Astra,Controller,24,0.81,98,0.64,0.67,65,0.38,0.46,0,0.08,0.33,0.5,03-Jun,9,9,14,11,0,2
77,SugarZ3ro,ZETA,Astra,Controller,33,0.58,113,0.48,0.58,70.4,0.39,0.3,0.03,0.12,0.14,,0/4,10,13,27,10,1,4
45,rhyme,GIA,Breach,Initiator,67,1.06,196.3,0.98,0.78,129.9,0.69,0.49,0.01,0.07,0.34,0.15,Feb-13,20,46,47,33,1,5
16,something,PRX,Breach,Initiator,38,1.06,192,0.93,0.76,119.2,0.68,0.61,0.05,0.03,0.2,,0/6,15,26,28,23,2,1
34,saadhak,LOUD,Breach,Initiator,160,1.05,179.4,0.93,0.75,110.9,0.63,0.48,0.09,0.11,0.21,0.08,Jan-13,17,100,108,77,15,17
41,Chronicle,FNC,Breach,Initiator,170,1.04,168,0.98,0.76,111.3,0.59,0.49,0.07,0.05,0.24,,0/8,17,101,103,83,12,8
49,Munchkin,T1,Breach,Initiator,20,1.03,169,0.87,0.55,113,0.65,0.2,0.15,0.15,0.34,0.2,01-May,13,13,15,4,3,3
10,MrFaliN,FUT,Breach,Initiator,42,1.01,159.5,0.88,0.71,94.8,0.55,0.48,0.02,0.02,0.22,,0/6,12,23,26,20,1,1
21,Ethan,EG,Breach,Initiator,22,1.01,112,0.67,0.91,68.4,0.36,0.59,0.05,0.09,0.25,,,8,8,12,13,1,2
26,Sayf,TL,Breach,Initiator,24,0.96,170,0.88,0.71,112.1,0.58,0.42,0,0.04,0.23,0.33,01-Mar,14,14,16,10,0,1
52,Smoggy,EDG,Breach,Initiator,87,0.92,185,1.07,0.72,121.8,0.72,0.26,0.06,0.11,0.43,0.13,01-Aug,23,63,59,23,5,10
59,Knight,BLG,Breach,Initiator,60,0.83,170.7,0.84,0.7,126.8,0.62,0.37,0.03,0.1,0.31,0.07,Jan-15,19,37,44,22,2,6
53,Zyppan,NAVI,Breach,Initiator,26,0.77,152,0.74,0.77,109.7,0.54,0.46,0.08,0.04,0.5,,0/1,14,14,19,12,2,1
50,stax,DRX,Breach,Initiator,22,0.62,109,0.41,0.55,71.3,0.32,0.41,0,0,0.29,,0/1,7,7,17,9,0,0
80,crow,ZETA,Breach,Initiator,18,0.5,102,0.4,0.5,74.9,0.33,0.17,0,0,0.22,,0/1,6,6,15,3,0,0
74,Jamppi,TL,Breach,Initiator,15,0.36,121,0.54,0.47,70.9,0.47,0.07,0.07,0.13,0.13,,0/2,7,7,13,1,1,2
1,Demon1,EG,Brimstone,Controller,22,1.79,332,3.11,0.86,227.6,1.27,0.41,0.09,0.05,0.39,,0/3,28,28,9,9,2,1
23,MaKo,DRX,Brimstone,Controller,64,1.19,228,1.12,0.75,146.8,0.73,0.47,0.05,0.03,0.29,0.11,01-Sep,20,47,42,30,3,2
36,mindfreak,PRX,Brimstone,Controller,60,1.14,182,1.17,0.77,116.3,0.68,0.48,0.03,0.03,0.29,0.14,01-Jul,17,41,35,29,2,2
17,s0m,NRG,Brimstone,Controller,51,1.07,176,1.13,0.83,115.2,0.71,0.47,0,0.04,0.38,,0/2,21,36,32,24,0,1
33,AtaKaptan,FUT,Brimstone,Controller,133,1.04,208.8,0.94,0.71,137.7,0.68,0.53,0.11,0.11,0.31,0.15,Feb-13,20,90,96,70,15,14
31,tuyz,LOUD,Brimstone,Controller,69,1.02,202,1.07,0.71,124.7,0.68,0.43,0.06,0.09,0.36,,0/13,23,47,44,30,4,6
27,hoody,GIA,Brimstone,Controller,20,1.01,178,0.71,0.6,108.4,0.6,0.7,0.15,0.15,0.2,0.33,01-Mar,12,12,17,14,3,3
60,Haodong,EDG,Brimstone,Controller,105,0.98,202.6,1,0.82,122.1,0.71,0.45,0.08,0.1,0.29,0.17,02-Dec,20,75,75,47,8,10
77,SugarZ3ro,ZETA,Brimstone,Controller,46,0.85,136,0.81,0.72,77.2,0.54,0.3,0,0.11,0.33,,,17,25,31,14,0,2
45,rhyme,GIA,Brimstone,Controller,24,0.84,150,0.71,0.79,98.3,0.5,0.38,0.08,0.08,0.25,,0/1,12,12,17,9,2,2
54,Boostio,EG,Brimstone,Controller,83,0.84,154.5,0.81,0.66,100.4,0.58,0.3,0.05,0.12,0.24,0.17,01-Jun,16,48,59,25,4,10
66,ANGE1,NAVI,Brimstone,Controller,110,0.83,182,0.76,0.74,122.6,0.6,0.45,0.09,0.14,0.23,0.2,01-May,24,66,87,50,10,15
44,Boaster,FNC,Brimstone,Controller,32,0.73,138,0.61,0.69,85.1,0.44,0.44,0.13,0.03,0.24,,0/1,12,14,23,14,4,1
68,rin,BLG,Brimstone,Controller,40,0.62,120,0.55,0.58,81.4,0.43,0.28,0.03,0.05,0.19,,0/4,9,17,31,11,1,2
38,ZmjjKK,EDG,Chamber,Sentinel,41,1.22,228.5,1.18,0.73,150.6,0.8,0.2,0.17,0.1,0.27,0.25,01-Apr,17,33,28,8,7,4
1,Demon1,EG,Chamber,Sentinel,83,1.12,210.5,1.31,0.72,145.3,0.81,0.1,0.2,0.06,0.45,0.08,Jan-13,20,67,51,8,17,5
30,DaveeyS,KRÜ,Chamber,Sentinel,20,1.04,167,1.3,0.7,111.2,0.65,0.1,0.05,0.1,0.24,,0/7,13,13,10,2,1,2
74,Jamppi,TL,Chamber,Sentinel,32,0.91,193,1.05,0.66,123.5,0.69,0.06,0.09,0.09,0.25,0.33,02-Jun,22,22,21,2,3,3
54,Boostio,EG,Chamber,Sentinel,46,0.89,194,0.78,0.65,126.8,0.61,0.11,0.15,0.13,0.18,,0/5,16,28,36,5,7,6
4,Alfajer,FNC,Chamber,Sentinel,14,0.67,174,0.75,0.5,121.4,0.64,0,0.07,0.21,0.44,,0/4,9,9,12,0,1,3
78,Laz,ZETA,Chamber,Sentinel,51,0.66,143.7,0.68,0.51,84.8,0.55,0.06,0.06,0.22,0.26,0.07,Jan-14,12,28,41,3,3,11
28,ardiis,NRG,Chamber,Sentinel,51,0.66,149,1,0.7,96.4,0.75,0.41,0.09,0.17,0.29,,0/2,27,38,38,21,2,4
12,SUYGETSU,NAVI,Cypher,Sentinel,22,1.27,178,1.78,0.91,114.5,0.73,0.18,0.14,0,0.23,,0/3,16,16,9,4,3,0
4,Alfajer,FNC,Cypher,Sentinel,54,1.19,214.3,1.38,0.7,142.1,0.81,0.09,0.11,0.06,0.32,0.14,01-Jul,19,44,32,5,6,3
59,Knight,BLG,Cypher,Sentinel,89,1,207.8,1.02,0.72,134.4,0.71,0.22,0.08,0.09,0.27,0.29,02-Jul,18,63,62,20,7,8
20,CHICHOO,EDG,Cypher,Sentinel,47,0.98,160,0.97,0.66,112.6,0.6,0.26,0.04,0.15,0.36,,0/6,15,28,29,12,2,7
63,nukkye,GIA,Cypher,Sentinel,97,0.84,175.8,0.86,0.63,128.2,0.62,0.19,0.06,0.07,0.21,,0/16,22,60,70,18,6,7
10,MrFaliN,FUT,Fade,Initiator,45,1.11,178,1.08,0.69,119.6,0.62,0.47,0,0.07,0.31,0.2,01-May,17,28,26,21,0,3
58,Biank,BLG,Fade,Initiator,70,1.04,194,1.11,0.69,123.1,0.7,0.23,0.01,0.11,0.15,0.29,02-Jul,25,49,44,16,1,8
32,Shao,NAVI,Fade,Initiator,48,1.01,175,0.94,0.73,115.9,0.63,0.33,0.06,0.1,0.28,0.25,03-Dec,16,30,32,16,3,5
3,Leo,FNC,Fade,Initiator,40,0.99,176.5,1,0.75,125.6,0.65,0.38,0,0.03,0.26,0.14,01-Jul,14,26,26,15,0,1
9,cauanzin,LOUD,Fade,Initiator,160,0.98,207.3,1.01,0.72,133.6,0.74,0.38,0.11,0.09,0.24,0.13,Feb-15,22,118,117,61,17,14
50,stax,DRX,Fade,Initiator,94,0.88,172,0.85,0.69,110.4,0.62,0.29,0.06,0.11,0.35,0.14,01-Jul,23,58,68,27,6,10
75,Carpe,T1,Fade,Initiator,23,0.76,78,0.57,0.65,48.8,0.35,0.26,0.04,0.17,0.13,,,8,8,14,6,1,4
47,nobody,EDG,Fade,Initiator,30,0.68,148,0.59,0.67,110.9,0.43,0.3,0.07,0.13,0.32,,0/3,13,13,22,9,2,4
43,qRaxs,FUT,Gekko,Initiator,42,1.01,206,1.14,0.74,136.9,0.76,0.14,0.07,0.07,0.36,0.25,01-Apr,20,32,28,6,3,3
6,AAAAY,FPX,Gekko,Initiator,23,0.99,189,1.21,0.74,120.3,0.74,0.04,0,0.09,0.39,,0/5,17,17,14,1,0,2
75,Carpe,T1,Gekko,Initiator,43,0.84,198,0.86,0.72,130.8,0.7,0.23,0.05,0.14,0.27,,0/2,17,30,35,10,2,6
17,s0m,NRG,Harbor,Controller,14,1.69,231,3.25,0.86,147.1,0.93,0.5,0.14,0,0.33,,,13,13,4,7,2,0
31,tuyz,LOUD,Harbor,Controller,80,1.04,145.8,0.86,0.75,101.4,0.53,0.3,0.04,0.09,0.28,0.43,03-Jul,12,42,49,24,3,7
37,f0rsakeN,PRX,Harbor,Controller,92,0.97,184,0.89,0.68,118.4,0.64,0.34,0.07,0.11,0.26,0.11,01-Sep,19,59,66,31,6,10
76,BerLIN,FPX,Harbor,Controller,23,0.91,163,0.81,0.57,115.7,0.57,0.3,0.09,0.17,0.57,,0/3,13,13,16,7,2,4
65,ban,T1,Harbor,Controller,86,0.84,178,0.83,0.65,111,0.64,0.36,0.02,0.16,0.31,0.2,02-Oct,16,55,66,31,2,14
73,Melser,KRÜ,Harbor,Controller,47,0.66,133,0.49,0.66,93.2,0.4,0.32,0.09,0.17,0.27,,0/5,11,19,39,15,4,8
72,nizhaoTZH,FPX,Harbor,Controller,20,0.52,86,0.4,0.5,57.5,0.3,0.2,0.1,0.15,0.5,,0/1,6,6,15,4,2,3
15,cNed,NAVI,Jett,Duelist,70,1.28,261,1.53,0.8,165.7,0.94,0.17,0.13,0.13,0.28,,0/5,27,66,43,12,9,9
1,Demon1,EG,Jett,Duelist,251,1.22,256.7,1.33,0.71,174.9,0.93,0.11,0.17,0.12,0.4,0.16,May-32,28,234,176,27,42,30
7,aspas,LOUD,Jett,Duelist,262,1.21,239.1,1.36,0.77,152.1,0.89,0.14,0.21,0.11,0.29,0.18,Apr-22,27,234,172,36,56,28
2,keznit,KRÜ,Jett,Duelist,47,1.2,271,1.25,0.64,177,0.96,0.13,0.17,0.09,0.26,0.29,02-Jul,29,45,36,6,8,4
29,Fit1nho,GIA,Jett,Duelist,47,1.15,234.5,1.21,0.68,149.3,0.87,0.09,0.26,0.15,0.3,0.5,01-Feb,24,41,34,4,12,7
28,ardiis,NRG,Jett,Duelist,53,1.15,264,1.21,0.7,160.1,0.89,0.13,0.23,0.19,0.19,,0/4,19,47,39,7,12,10
18,Sayaplayer,T1,Jett,Duelist,106,1.07,223.6,1.08,0.65,146.4,0.79,0.11,0.18,0.09,0.27,0.31,Apr-13,20,84,78,12,19,10
16,something,PRX,Jett,Duelist,228,1.03,204.6,1.04,0.72,129.9,0.73,0.14,0.2,0.16,0.21,0.14,Mar-22,31,166,159,33,46,37
40,BuZz,DRX,Jett,Duelist,65,1.01,215.7,1.14,0.62,134.6,0.77,0.09,0.2,0.15,0.25,,0/3,21,50,44,6,13,10
22,Derke,FNC,Jett,Duelist,144,1,201.1,1.09,0.63,130.5,0.7,0.15,0.2,0.19,0.27,0.33,02-Jun,18,101,93,21,29,28
52,Smoggy,EDG,Jett,Duelist,101,0.98,214,1.01,0.64,144.3,0.79,0.1,0.11,0.12,0.28,,0/8,25,80,79,10,11,12
19,whzy,BLG,Jett,Duelist,78,0.92,232.3,0.94,0.68,136.2,0.79,0.15,0.22,0.17,0.21,,0/4,21,62,66,12,17,13
38,ZmjjKK,EDG,Jett,Duelist,192,0.87,212.3,0.92,0.61,134.9,0.74,0.17,0.13,0.18,0.17,0.11,Feb-19,27,143,155,32,25,35
64,qw1,FUT,Jett,Duelist,171,0.85,182.9,0.91,0.62,118.1,0.68,0.06,0.17,0.19,0.31,0.14,Feb-14,21,117,129,10,29,32
26,Sayf,TL,Jett,Duelist,15,0.85,235,0.79,0.6,169.7,0.73,0.2,0.2,0.2,0.27,,0/2,11,11,14,3,3,3
61,Yuicaw,FPX,Jett,Duelist,62,0.8,202.3,0.77,0.63,130.7,0.66,0.18,0.21,0.18,0.32,,0/5,15,41,53,11,13,11
74,Jamppi,TL,Jett,Duelist,21,0.72,142,0.73,0.52,92,0.52,0.05,0.14,0.38,0.29,0.5,01-Feb,11,11,15,1,3,8
14,d4v41,PRX,Kayo,Initiator,24,1.42,254,1.71,0.79,171.8,1,0.54,0,0,0.31,0.2,01-May,24,24,14,13,0,0
11,Victor,NRG,Kayo,Initiator,18,1.29,304,1.43,0.72,179,1.11,0.39,0.17,0.11,0.43,,0/4,20,20,14,7,3,2
59,Knight,BLG,Kayo,Initiator,18,1.21,249,1.42,0.61,133.8,0.94,0.67,0.06,0.17,0.24,0.5,01-Feb,17,17,12,12,1,3
21,Ethan,EG,Kayo,Initiator,161,1.19,210.3,1.11,0.8,140.8,0.7,0.72,0.06,0.09,0.19,0.35,Jul-20,21,113,102,116,10,15
27,hoody,GIA,Kayo,Initiator,21,1.15,278,1.12,0.71,183.7,0.9,0.57,0.1,0.05,0.29,0.17,01-Jun,19,19,17,12,2,1
50,stax,DRX,Kayo,Initiator,21,1.13,196,1,0.71,123.2,0.71,0.62,0.1,0.1,0.29,0.25,01-Apr,15,15,15,13,2,2
34,saadhak,LOUD,Kayo,Initiator,114,1.09,207.8,0.89,0.75,126.3,0.66,0.72,0.12,0.1,0.15,,0/7,21,75,84,82,14,11
43,qRaxs,FUT,Kayo,Initiator,174,0.97,189.6,0.89,0.71,128.3,0.65,0.49,0.05,0.06,0.29,0.05,Jan-20,20,113,127,85,8,10
53,Zyppan,NAVI,Kayo,Initiator,48,0.85,196.5,0.78,0.65,130.7,0.65,0.42,0.1,0.15,0.36,,0/1,16,31,40,20,5,7
52,Smoggy,EDG,Kayo,Initiator,57,0.81,166.7,0.73,0.68,119.7,0.56,0.51,0.07,0.09,0.38,0.13,01-Aug,14,32,44,29,4,5
41,Chronicle,FNC,Kayo,Initiator,46,0.75,164.5,0.72,0.65,107.5,0.57,0.41,0.02,0.07,0.2,,0/2,15,26,36,19,1,3
